nm_pol,area,rape,gangrape,sexual_harassment,totarea,lat,long,totalcrime,crime_per_area,hybrid_score,risk_score,risk_cluster,risk_level
CHITRANJAN PARK,2.659329537,6,1,7,2659329.537,28.53632,77.2492,512,192.5297308,22.426752406850774,23.053468522718013,0,Very Low
DABRI,3.401013428,28,0,16,3401013.428,28.61268,77.086,397,116.7299125,77.25816005998438,79.41714113372433,1,High
MALVIYA NAGAR,1.379853572,28,1,15,1379853.572,28.52989,77.20418,837,606.5861022,76.42684956880116,78.56259965159501,1,High
CHANDNI MAHAL,5.570696132,8,1,7,5570696.132,28.64361,77.23608,588,105.5523378,26.26950668984032,27.003608663221716,2,Low
MODEL TOWN,2.689157085,4,1,14,2689157.085,28.70257,77.19369,466,173.2885009,28.847573166793403,29.653719267633488,2,Low
ANANDVIHAR,4.558969692,14,0,15,4558969.692,28.65335,77.29373,619,135.776292,48.89265507292437,50.258961452281355,3,Medium
KASHMERE GATE,1.627909974,9,3,12,1627909.974,28.66645,77.22618,398,244.4852641,36.791837891900826,37.8199866546341,2,Low
GOVIND PURI,8.99271206,4,3,5,8992712.06,28.53067,77.26532,741,82.40005852,16.921377141494776,17.39424541795565,0,Very Low
BINDAPUR,2.5680795,4,1,8,2568079.5,28.6091,77.06618,509,198.2025868,20.050223129994393,20.61052708013133,0,Very Low
NEW FRIENDS COLONY,4.04538671,7,1,10,4045386.71,28.56234,77.2676,694,171.5534385,28.74680456674505,29.55013468672094,2,Low
SARITA VIHAR,7.942774025,12,0,1,7942774.025,28.52299,77.30617,245,30.84564653,24.52275070407046,25.208039540939275,2,Low
TIMARPUR,6.149745104,17,1,5,6149745.104,28.7072,77.2242,740,120.3301905,40.62945095102696,41.76484189965436,2,Low
KANJHAWALA,35.4901909,5,2,10,35490190.9,28.72582,77.00361,361,10.17182469,25.538964798705447,26.252651762004934,2,Low
ANAND PARBAT,1.948430286,20,1,9,1948430.286,28.66004,77.17376,521,267.394735,52.25848240004395,53.71884690207802,3,Medium
SAGARPUR,1.283551172,7,0,4,1283551.172,28.59139,77.08644,208,162.0504149,19.314540014996094,19.854285283431082,0,Very Low
PRASHANT VIHAR,2.076678927,8,0,14,2076678.927,28.71793,77.12757,566,272.5505578,35.898167217822554,36.901342332853204,2,Low
SOUTH CAMPUS,4.518856098,11,1,9,4518856.098,28.57051,77.179,325,71.92085629,34.96608812659098,35.94321626981134,2,Low
ROHINI SOUTH,2.649542395,14,0,5,2649542.395,28.70236,77.1159,705,266.0836835,34.23040501159269,35.18697447311109,2,Low
PUNJABI BAGH,2.57731064,24,0,19,2577310.64,28.67441,77.13276,1421,551.349914,73.97132651240479,76.038456946468,1,High
DWARKA NORTH,30.06854798,2,0,13,30068547.98,28.60369,77.01564,142,4.722542641,22.90367936272074,23.543723213425054,0,Very Low
BURARI,11.3338763,12,0,17,11333876.3,28.73664,77.19735,671,59.203046,47.982350802201154,49.323218707611694,3,Medium
JAMA MASJID,3.817050224,19,0,1,3817050.224,28.65284,77.23362,364,95.36159563,37.972390694533885,39.03353003270225,2,Low
ADRASH NAGAR,1.646190527,15,0,3,1646190.527,28.70984,77.17532,434,263.6389852,33.21933214082112,34.14764714752889,2,Low
CHANAKYAPURI,10.99345252,7,2,4,10993452.52,28.60337,77.19606,723,65.76641857,20.584369044895986,21.159599715006486,0,Very Low
PANDAV NAGAR,1.470612978,16,3,10,1470612.978,28.62038,77.30265,435,295.7950231,47.30902787009791,48.631079750563025,3,Medium
MIANWALI NAGAR,1.729847853,12,1,8,1729847.853,28.67965,77.08879,495,286.1523337,35.42124026195258,36.41108764214616,2,Low
FATEHPUR BERI,35.89559495,10,0,9,35895594.95,28.46549,77.15114,776,21.61825152,32.40979647014626,33.31548898377178,2,Low
NABI KARIM,1.799866446,4,0,5,1799866.446,28.64981,77.21754,660,366.6938741,15.01663359664494,15.436273770592548,0,Very Low
RAJOURI GARDEN,1.731624057,7,0,4,1731624.057,28.63969,77.11992,636,367.2852645,19.314540014996094,19.854285283431082,0,Very Low
JAHANGIR PURI,2.463668046,23,1,6,2463668.046,28.73358,77.17487,525,213.0968906,53.62393880612877,55.1224610190825,3,Medium
KAMLA MARKET,3.095888323,11,0,5,3095888.323,28.64295,77.22621,139,44.89826037,28.46627358710836,29.261764262355527,2,Low
BARAKHAMBA ROAD,3.748441999,14,1,38,3748441.999,28.63089,77.22498,1011,269.7120565,83.25074472893719,85.57718872016066,1,High
SAFDARJUNG ENCLAVE,2.366255942,7,0,10,2366255.942,28.56934,77.20489,106,44.79650663,28.111890051795108,28.897477470933243,2,Low
MUKHERJI NAGAR,6.149745104,8,0,7,6149745.104,28.70024,77.20856,873,141.9571031,25.634592174890376,26.350951447434017,2,Low
FARASH BAZAR,1.721757744,3,1,9,1721757.744,28.66879,77.29224,427,248.0023694,19.595070994632785,20.1426557077965,0,Very Low
KALKAJI,2.659329537,9,0,2,2659329.537,28.53321,77.25743,179,67.31019886,20.224844285719307,20.79002802810074,0,Very Low
KALKAJI,2.745338744,9,0,2,2745338.744,28.54728,77.25644,179,65.20142565,20.224844285719307,20.79002802810074,0,Very Low
PARSHAD NAGAR,4.104570166,12,2,13,4104570.166,28.64784,77.18053,536,130.5861462,43.387279807568376,44.59973834751899,3,Medium
LODHI COLONY,2.11696063,5,0,5,2116960.63,28.58744,77.24047,208,98.25407096,16.938010738139713,17.4113438408444,0,Very Low
INDERPURI,1.255396299,13,0,5,1255396.299,28.63077,77.14501,278,221.4440175,32.309027870097914,33.21190440285924,2,Low
OKHLA,1.71603619,27,3,13,1716036.19,28.52678,77.27462,244,142.1881435,72.84285144493994,74.8784466170845,1,High
SAMAYPURBADLI,3.249865013,2,0,2,3249865.013,28.72516,77.14219,90,27.69345792,6.775204295255886,6.964537536337761,0,Very Low
JAFFARPUR KALAN,70.46948722,11,1,5,70469487.22,28.59572,76.91555,781,11.08281089,29.101188102058305,29.914421478143225,2,Low
MAYA PURI,2.553754816,21,2,17,2553754.816,28.62657,77.12084,344,134.7036128,66.54457410555402,68.40416377145378,1,High
AMAN VIHAR,3.296887934,14,1,12,3296887.934,28.70965,77.06081,633,191.9992467,45.12889456947481,46.390022574317975,3,Medium
VIJAY VIHAR,2.649542395,3,0,5,2649542.395,28.71003,77.10186,255,96.24303447,13.095256455150166,13.461203700340693,0,Very Low
AMAR COLONY,1.505936692,14,1,40,1505936.692,28.55914,77.24093,647,429.6329345,86.18319474120352,88.5915861159947,1,High
ALIPUR,51.54547492,15,1,18,51545474.92,28.79903,77.13913,434,8.419749759,55.8476217477686,57.40828483207199,3,Medium
MAHENDRA PARK,2.463668046,15,2,4,2463668.046,28.72579,77.16418,918,372.6151344,35.955386176854184,36.960160277021316,2,Low
VASANT KUNJ SOUTH,14.1053716,1,0,3,14105371.6,28.53492,77.15236,71,5.033543391,6.3200521598942805,6.496666164002934,0,Very Low
BHALSWA DAIRY,4.49852205,13,1,12,4498522.05,28.74286,77.16574,417,92.69711149,43.20751742798004,44.41495250406612,3,Medium
BAWANA,40.32792292,20,3,8,40327922.92,28.79654,77.04254,526,13.04307194,52.06208642381067,53.51696263573639,3,Medium
BEGUM PUR,35.4901909,4,0,4,35490190.9,28.72449,77.05179,499,14.06022305,13.550408590511772,13.929075072675522,0,Very Low
NARAINA,14.93729349,11,0,12,14937293.49,28.63356,77.13777,496,33.20547998,38.72984863004054,39.81215514777471,2,Low
NEB SARAI,8.344724019,20,2,13,8344724.019,28.49893,77.21428,718,86.04239018,58.758296939526566,60.400298909533824,3,Medium
RAJINDER NAGAR,3.013302528,21,1,11,3013302.528,28.63505,77.18285,571,189.4930876,57.11230955380507,58.70831436816393,3,Medium
SHALIMAR BAGH,1.28161156,9,0,23,1281611.56,28.71681,77.15712,433,337.855879,51.015569414515845,52.44120068435829,3,Medium
KESHAV PURAM,1.352844685,43,0,10,1352844.685,28.68423,77.15977,458,338.5458842,97.281467145607,100.0,1,High
RANI BAGH,2.974723888,25,1,10,2974723.888,28.69784,77.11933,617,207.4142083,63.33159311365099,65.10139595125432,3,Medium
BARA HINDU RAO,1.749323881,20,2,10,1749323.881,28.66539,77.20846,367,209.7953409,54.35962192112706,55.87870281578274,3,Medium
CONNAUGHT PLACE,5.266891996,11,0,6,5266891.996,28.63,77.21432,909,172.5875527,29.932498593241533,30.768962960272557,2,Low
H. N. DIN,10.31630404,8,1,4,10316304.04,28.59238,77.24417,257,24.91202265,21.870831671440815,22.482012569470637,0,Very Low
DARYA GANJ,5.570696132,5,0,6,5570696.132,28.6419,77.24062,222,39.85139285,18.40423574427288,18.918542538761425,0,Very Low
MANGOLPURI,2.980192322,15,1,10,2980192.322,28.69664,77.09163,186,62.41207947,44.117821698703246,45.350695248735775,3,Medium
VIVEKVIHAR,4.731868997,1,0,3,4731868.997,28.66676,77.30662,131,27.68462104,6.3200521598942805,6.496666164002934,0,Very Low
LAHORI GATE,2.975208719,12,2,5,2975208.719,28.65557,77.21885,302,101.5054836,31.657479758503026,32.542148764182784,2,Low
SULTAN PURI,1.975070373,9,0,7,1975070.373,28.70265,77.07856,729,369.1007723,27.555969316385152,28.326021517685874,2,Low
GEETA COLONY,1.021961219,6,0,11,1021961.219,28.6554,77.27642,292,285.7251279,27.6567379164335,28.429606098598413,2,Low
CIVIL LINES,4.21554288,9,0,17,4215542.88,28.68851,77.2215,907,215.1561556,42.218219377716835,43.398008496856136,3,Medium
ASHOK VIHAR,3.536288039,10,2,7,3536288.039,28.69245,77.17432,543,153.5508403,30.747175487779813,31.606406019513127,2,Low
TILAK NAGAR,1.622207446,29,3,8,1622207.446,28.63896,77.10143,584,360.003279,69.35448069726364,71.29259326800307,1,High
PALAM VILLAGE,1.326803624,9,3,4,1326803.624,28.58809,77.08293,253,190.6838324,25.06203784283548,25.762397071297894,2,Low
MOTI NAGAR,3.148605142,24,0,24,3148605.142,28.66013,77.14659,949,301.4033063,81.30245154307063,83.57445043605313,1,High
HARI NAGAR,2.386161479,17,0,5,2386161.479,28.60935,77.09946,528,221.2758879,39.99453643607701,41.11218468386666,2,Low
PAHARGANJ,1.728182346,16,0,14,1728182.346,28.64583,77.20931,368,212.9404925,51.26918434978075,52.701902894868034,3,Medium
SADAR BAZAR,2.975208719,3,0,4,2975208.719,28.65399,77.21115,406,136.4610144,11.629031449016997,11.954005002423667,0,Very Low
SAROJINI NAGAR,1.891342634,5,0,0,1891342.634,28.57449,77.19913,384,203.0303727,9.606885707473872,9.87535035125927,0,Very Low
NAJAFGARH,8.461597124,4,0,9,8461597.124,28.60975,76.98269,973,114.9901119,20.881533621177613,21.465068562260655,0,Very Low
KAPASHERA,21.50057279,12,3,2,21500572.79,28.52958,77.0872,196,9.116036206,27.893719255053465,28.673209886219404,2,Low
KALYANPURI,0.878452779,8,0,3,878452.7789,28.61363,77.31708,303,344.9246303,19.769692150357702,20.322156655765912,0,Very Low
BADAR PUR,2.116989697,11,1,8,2116989.697,28.49385,77.30357,411,194.1435995,33.49986312045781,34.436017571894304,2,Low
SUBHASH PLACE,0.885072498,15,1,26,885072.498,28.68901,77.14412,701,792.0255138,67.57742179683395,69.4658744154082,1,High
SUBZIMANDI,2.975208719,14,2,17,2975208.719,28.66917,77.20774,754,253.4275982,53.094934115090595,54.578673279690804,3,Medium
MAURICE NAGAR,6.149745104,31,0,10,6149745.104,28.69251,77.20652,581,94.47546039,74.22494144766969,76.29915915697774,1,High
MANDIR MARG,9.889059631,24,4,15,9889059.631,28.63857,77.20325,983,99.40277809,70.6460845476719,72.6202910179507,1,High
TUGLAK ROAD,6.857849293,15,0,8,6857849.293,28.59827,77.21117,705,102.8019091,40.55045717148697,41.683640637114024,2,Low
LAJPAT NAGAR,1.505936692,7,0,8,1505936.692,28.56843,77.24052,199,132.1436692,25.17944003952877,25.88308007509919,2,Low
KRISHNA NAGAR,1.904048824,13,2,4,1904048.824,28.66699,77.28072,198,103.9889301,32.11263189386463,33.01002013651761,2,Low
PRASHANT VIHAR,6.857849293,8,0,14,6857849.293,28.60415,77.23372,566,82.53316394,35.898167217822554,36.901342332853204,2,Low
ANANDVIHAR,4.558969692,14,0,15,4558969.692,28.65597,77.31306,619,135.776292,48.89265507292437,50.258961452281355,3,Medium
SWARUP NAGAR,12.08811457,23,1,6,12088114.57,28.75841,77.1562,560,46.32649671,53.62393880612877,55.1224610190825,3,Medium
GREATER KAILASH,3.793564843,2,0,4,3793564.843,28.5541,77.23278,188,49.55760816,9.707654307522223,9.978934932171814,0,Very Low
VIKAS PURI,1.247661874,3,1,1,1247661.874,28.62997,77.06834,232,185.9478156,7.8652709455674366,8.085066124460289,0,Very Low
UTTAM NAGAR,2.747375479,10,1,21,2747375.479,28.62499,77.06488,1180,429.5008123,50.63941105869422,52.05453057456379,3,Medium
DEFENCE COLONY,2.480276534,14,1,10,2480276.534,28.56468,77.23337,227,91.52205283,42.19644455720847,43.37562517848392,3,Medium
JAMIA NAGAR,7.880690981,23,4,5,7880690.981,28.56207,77.29235,345,43.7778871,54.06245734484544,55.573233968528584,3,Medium
KASHMERE GATE,1.627909974,9,3,12,1627909.974,28.66254,77.2315,398,244.4852641,36.791837891900826,37.8199866546341,2,Low
PULPRAHLAD PUR,3.852127696,15,1,9,3852127.696,28.50165,77.29099,481,124.8660579,42.65159669257008,43.84349655081875,3,Medium
SARITA VIHAR,6.171102991,12,0,1,6171102.991,28.54046,77.28196,245,39.70116855,24.52275070407046,25.208039540939275,2,Low
NANGLOI,2.253261514,13,5,15,2253261.514,28.68199,77.06698,955,423.8300765,50.14585050617932,51.547177460968,3,Medium
SAFDARJUNG ENCLAVE,3.486811523,7,0,10,3486811.523,28.55848,77.19855,106,30.40026664,28.111890051795108,28.897477470933243,2,Low
HAUZQAZI,3.095888323,6,0,4,3095888.323,28.64335,77.22548,491,158.5974521,17.39316287350132,17.87921521317923,0,Very Low
DWARKA SOUTH,30.06854798,8,2,4,30068547.98,28.57837,77.06666,362,12.039158,22.50574618639076,23.13466978525834,0,Very Low
PASCHIM VIHAR,3.794663797,13,0,30,3794663.797,28.67112,77.10115,632,166.5496692,68.96465302342713,70.89187185078491,1,High
BINDAPUR,2.747375479,4,1,8,2747375.479,28.62046,77.06744,509,185.2677233,20.050223129994393,20.61052708013133,0,Very Low
TILAK MARG,3.748441999,19,1,7,3748441.999,28.61821,77.23537,381,101.642229,47.40465524628284,48.729379435992115,3,Medium
RAJOURI GARDEN,1.798942912,7,0,4,1798942.912,28.65151,77.1196,636,353.5409577,19.314540014996094,19.854285283431082,0,Very Low
SANGAM VIHAR,3.10572333,6,0,2,3105723.33,28.50957,77.24299,215,69.22702931,14.460712861234983,14.864817817345177,0,Very Low
MAYURVIHAR,2.111658828,7,0,14,2111658.828,28.60733,77.30367,245,116.0225301,33.97679007632778,34.92627226260135,2,Low
SHAHBAD DAIRY,49.82264953,8,0,6,49822649.53,28.74766,77.07894,352,7.065059834,24.168367168757207,24.84375274951699,2,Low
GANDHI NAGAR,1.205110776,2,0,1,1205110.776,28.65955,77.26733,354,293.7489292,5.308979289122718,5.457338838420735,0,Very Low
DWARKA SEC-23,30.06854798,1,0,1,30068547.98,28.56411,77.05849,475,15.79723771,3.387602147627943,3.4822687681688804,0,Very Low
RANJIT NAGAR,2.003783762,9,0,13,2003783.762,28.64751,77.15868,403,201.1195058,36.35331935318416,37.36921370518803,2,Low
RANHOLA,11.28382351,15,2,33,11283823.51,28.65375,77.03599,464,41.1208133,78.47591135471608,80.6689225166151,1,High
SAKET,2.732945718,0,0,0,2732945.718,28.52882,77.22715,134,49.0313434,0.0,0.0,0,Very Low
SHAKARPUR,3.019451766,2,0,4,3019451.766,28.63775,77.2703,327,108.2978055,9.707654307522223,9.978934932171814,0,Very Low
PREETVIHAR,2.272578698,5,1,4,2272578.698,28.63852,77.29526,568,249.9363391,16.10670024695649,16.556802358715075,0,Very Low
KIRTI NAGAR,1.511976155,16,2,8,1511976.155,28.64053,77.13509,274,181.2197891,43.74166334288163,44.964025138941274,3,Medium
HAUZ KHAS,2.436526458,10,1,3,2436526.458,28.54939,77.20847,417,171.1452788,24.247360948297192,24.924954012057317,2,Low
BAWANA,40.32792292,20,3,8,40327922.92,28.80659,77.0228,526,13.04307194,52.06208642381067,53.51696263573639,3,Medium
KN KATJU MARG,8.251478933,3,0,4,8251478.933,28.73043,77.121,303,36.72069001,11.629031449016997,11.954005002423667,0,Very Low
I.P. ESTATE,9.253420865,22,2,4,9253420.865,28.6274,77.24722,654,70.67656487,49.4050261673176,50.78565076878429,3,Medium
KOTALA MUBARAK PUR,1.628367164,2,5,14,1628367.164,28.5759,77.22514,571,350.6580165,27.544476943603634,28.31420799028058,2,Low
DELHI CANTT,42.83635341,7,0,3,42836353.41,28.59872,77.12437,293,6.839984655,17.848315008862926,18.347086585514056,0,Very Low
D.B.G ROAD,1.643641889,11,1,12,1643641.889,28.65258,77.19326,500,304.2025173,39.36476314499049,40.464812363562416,2,Low
KHYALA,2.093069914,18,6,11,2093069.914,28.65761,77.11332,793,378.869332,54.52275070407047,56.046390236346866,3,Medium
JAGATPURI,1.021961219,30,0,6,1021961.219,28.64359,77.2839,740,724.0979268,66.43866428164225,68.29529429505779,1,High
PATEL NAGAR,4.104570166,6,2,13,4104570.166,28.65237,77.15822,517,125.9571597,31.859016958599728,32.74931792600787,2,Low
VASANT VIHAR,14.1053716,5,1,3,14105371.6,28.55797,77.16933,62,4.395488595,14.64047524082332,15.049603660798047,0,Very Low
KAROL BAGH,1.643641889,24,0,8,1643641.889,28.65256,77.1932,210,127.7650573,57.84285144493993,59.45927126938071,3,Medium
SUNLIGHT COLONY,2.112193774,27,0,5,2112193.774,28.57835,77.26018,1433,678.4415415,59.208307851024756,60.862885386385194,3,Medium
NARELA,20.33327697,17,0,6,20333276.97,28.85321,77.08849,400,19.67218568,41.46076144221018,42.61938338178368,3,Medium
NEW ASHOK NAGAR,3.300804937,18,2,34,3300804.937,28.59818,77.31178,1179,357.1856024,85.70626778533355,88.10133142528767,1,High
PARLIAMENT STREET,5.266891996,5,0,12,5266891.996,28.62473,77.21366,439,83.35086429,27.201585781071895,27.961734726263586,2,Low
NIHAL VIHAR,3.660010619,6,3,9,3660010.619,28.665,77.0717,509,139.0706348,26.629031449017,27.373180350127463,2,Low
MADHUVIHAR,4.995712622,23,1,7,4995712.622,28.62543,77.30612,707,141.5213511,55.09016381226194,56.629659716999534,3,Medium
BHARAT NAGAR,1.939521818,5,0,18,1939521.818,28.68062,77.17851,341,175.8165321,35.9989358178709,37.00492691376574,2,Low
MANDAWALI,4.995712622,9,1,23,4995712.622,28.62543,77.30612,593,118.7017839,51.65048392946579,53.093857900146,3,Medium
BABA HARI DAS NAGAR,28.98213358,9,1,7,28982133.58,28.62867,76.96681,512,17.66605618,28.190883831335093,28.97867873347357,2,Low
CHHAWLA,26.30944559,6,0,10,26309445.59,28.58691,76.99466,575,21.8552686,26.19051291030033,26.922407400681386,2,Low
MEHRAULI,38.91186678,5,1,21,38911866.78,28.52149,77.18019,612,15.7278499,41.03252535122036,42.17918022330453,2,Low
MAURYA ENCLAVE,5.879256003,14,1,21,5879256.003,28.70045,77.14605,472,80.28226697,58.32491962467333,59.95481085557121,3,Medium
JANAK PURI,2.051115234,16,5,3,2051115.234,28.62863,77.08188,491,239.3819674,38.31528185706563,39.38600329671925,2,Low
SARAI ROHILLA,1.948430286,14,1,2,1948430.286,28.66837,77.18368,363,186.3038173,30.466644508143123,31.31803559514771,2,Low
GULABIBAGH,2.218660178,0,1,2,2218660.178,28.67005,77.19262,323,145.5833585,3.567364527216282,3.667054611621753,0,Very Low
ROOP NAGAR,1.076492634,16,1,13,1076492.634,28.68499,77.20265,532,494.1975293,50.43787385859753,51.84736141273871,3,Medium
VASANT KUNJ NORTH,14.1053716,8,0,2,14105371.6,28.53486,77.15232,709,50.26453893,18.303467144224534,18.814957957848886,0,Very Low
ROHINI NORTH,2.076678927,18,1,9,2076678.927,28.70894,77.11815,496,238.8428916,48.41572811705441,49.768706761574315,3,Medium
GHAZIPUR,2.88681013,2,0,1,2886810.13,28.62486,77.33267,112,38.79714804,5.308979289122718,5.457338838420735,0,Very Low
SEEMAPURI,4.731868997,2,0,11,4731868.997,28.67811,77.31653,307,64.8792264,19.971229350454404,20.529325817591,0,Very Low
SEELAMPUR,1.57623738,16,1,12,1576237.38,28.6743,77.26855,502,318.4799488,48.971648852464355,50.34016271482168,3,Medium
MANSAROVAR PARK,2.231365619,29,0,20,2231365.619,28.68277,77.29856,439,196.7405055,85.04443722601182,87.4210059956443,1,High
SHAHDARA,2.231365619,11,0,15,2231365.619,28.6742,77.28518,224,100.386955,43.12852364844005,44.333751241525796,3,Medium
KHAJURIKHAS,4.453887398,7,0,6,4453887.398,28.71113,77.2561,234,52.53837358,22.246990027262434,22.868682679265138,0,Very Low
JYOTI NAGAR,1.275858528,13,2,18,1275858.528,28.69612,77.2917,223,174.7842688,52.639781979728994,54.110801907355984,3,Medium
HARSH VIHAR,2.572204895,9,0,7,2572204.895,28.70603,77.31849,529,205.6601327,27.555969316385152,28.326021517685874,2,Low
MUNDKA,48.58235864,5,0,3,48582358.64,28.67042,76.96085,270,5.557572904,14.005560725873377,14.396946445010348,0,Very Low
BHAJANPURI,10.15799164,19,4,28,10157991.64,28.70128,77.2644,291,28.64739511,80.10012391992922,82.33852373961277,1,High
ZAFRABAD,1.57623738,2,0,3,1576237.38,28.67909,77.27297,79,50.11935449,8.241429301389054,8.471736234254788,0,Very Low
WELCOME,1.805524407,2,0,5,1805524.407,28.67341,77.27479,364,201.6034779,11.17387931365539,11.48613363008884,0,Very Low
NANDNAGARI,2.02815697,26,2,11,2028156.97,28.69853,77.30817,692,341.1964707,67.35410977622888,69.2363219352109,1,High
G.T.B. ENCLAVE,2.874304374,1,0,7,2874304.374,28.68496,77.316,114,39.66177035,12.184952184426955,12.52546095567104,0,Very Low
NEW USMANPUR,3.093393387,8,1,5,3093393.387,28.67202,77.26207,613,198.1642563,23.337056677573983,23.989211267387663,2,Low
SONIA VIHAR,4.453887398,25,1,8,4453887.398,28.71128,77.25611,407,91.38084635,60.39914310138465,62.08699855542026,3,Medium
KARAWAL NAGAR,2.937546578,15,2,7,2937546.578,28.73284,77.2745,410,139.572255,40.35406119525369,41.4817563707724,2,Low
GOKULPURI,1.566343791,6,2,8,1566343.791,28.70225,77.28085,365,233.0267481,24.527891927933887,25.213324436422738,2,Low
